tsexec_date,tsexec_time,command,resp_fname
2026-05-28,22:40:03,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:40:08,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,22:40:10,CTS1+adcs_identification()!,
2026-05-28,22:40:15,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:40:17,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:40:22,CTS1+adcs_identification()!,
2026-05-28,22:40:24,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,22:40:29,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:40:31,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:40:36,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:40:43,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:40:45,"CTS1+fs_list_directory_json(/,0,20)!",
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:40:52,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:40:57,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,22:40:59,CTS1+adcs_identification()!,
2026-05-28,22:41:04,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:41:06,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:41:11,CTS1+adcs_identification()!,
2026-05-28,22:41:13,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,22:41:18,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:41:20,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:41:25,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:41:32,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:41:34,"CTS1+fs_list_directory_json(/,0,20)!",
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:41:41,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:41:46,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,22:41:48,CTS1+adcs_identification()!,
2026-05-28,22:41:53,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:41:55,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:42:00,CTS1+adcs_identification()!,
2026-05-28,22:42:02,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,22:42:07,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:42:09,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:42:14,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:42:21,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:42:23,"CTS1+fs_list_directory_json(/,0,20)!",
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:42:30,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:42:35,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,22:42:37,CTS1+adcs_identification()!,
2026-05-28,22:42:42,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:42:44,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:42:49,CTS1+adcs_identification()!,
2026-05-28,22:42:51,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,22:42:56,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:42:58,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:43:03,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:43:10,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:43:12,"CTS1+fs_list_directory_json(/,0,20)!",
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:43:19,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:43:24,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,22:43:26,CTS1+adcs_identification()!,
2026-05-28,22:43:31,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:43:33,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:43:38,CTS1+adcs_identification()!,
2026-05-28,22:43:40,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,22:43:45,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:43:47,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:43:52,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:43:59,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:44:01,"CTS1+fs_list_directory_json(/,0,20)!",
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:44:08,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:44:13,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,22:44:15,CTS1+adcs_identification()!,
2026-05-28,22:44:20,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:44:22,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:44:27,CTS1+adcs_identification()!,
2026-05-28,22:44:29,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,22:44:34,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:44:36,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:44:41,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:44:48,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:44:50,"CTS1+fs_list_directory_json(/,0,20)!",
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:44:57,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:45:02,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,22:45:04,CTS1+adcs_identification()!,
2026-05-28,22:45:09,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:45:11,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
